new_movie_id,title,runtime,genre,director,stars,outline
0,Penguins ,76 min,Documentary,Alastair Fothergill|Jeff Wilson,Ed Helms,The story of Steve; an Adélie penguin; on a quest to find a life partner and start a family. When Steve meets with Wuzzo the emperor penguin they become friends. But nothing comes easy in the icy Antarctic.
1,Breakthrough ,116 min,Biography|Drama,Roxann Dawson,Chrissy Metz|Topher Grace|Josh Lucas|Marcel Ruiz,When her 14-year-old son drowns in a lake; a faithful mother prays for him to come back from the brink of death and be healed.
2,Hail Satan? ,95 min,Documentary,Penny Lane,Jex Blackmore|Nicholas Crowe|Lucien Greaves|Malcolm Jarry,A look at the quick rise and influence of the controversial religious group known as The Satanic Temple.
3,Little Woods ,105 min,Crime|Drama|Western,Nia DaCosta,Lily James|Tessa Thompson|Luke Kirby|Lance Reddick,A modern Western about two sisters who work outside the law to better their lives
4,High on the Hog ,85 min,Action|Crime|Drama|Thriller,Tony Wash,Sid Haig|Joe Estevez|Robert Z'Dar|Fiona Domenica,With a potent strain of pot sweeping the City; DTA agents attempt to infiltrate a small town farming operation that has a strong leader and interesting family members.
5,Pet Sematary ,101 min,Horror|Mystery|Thriller,Kevin Kölsch|Dennis Widmyer,Jason Clarke|Amy Seimetz|John Lithgow|Jeté Laurence,Dr. Louis Creed and his wife; Rachel; relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.
6,Us ,116 min,Horror|Thriller,Jordan Peele,Lupita Nyong'o|Winston Duke|Elisabeth Moss|Tim Heidecker,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
7,The Best of Enemies ,133 min,Biography|Drama|History,Robin Bissell,Taraji P. Henson|Sam Rockwell|Babou Ceesay|Anne Heche,Civil rights activist Ann Atwater faces off against C.P. Ellis; Exalted Cyclops of the Ku Klux Klan; in 1971 Durham; North Carolina over the issue of school integration.
8,Unplanned ,106 min,Drama,Chuck Konzelman|Cary Solomon,Ashley Bratcher|Brooks Ryan|Robia Scott|Jared Lotz,Abby Johnson is one of the youngest Planned Parenthood directors in the US. After she is asked to assist in an abortion at thirteen weeks gestation she instead resigns; becoming a pro-life activist.
9,How to Train Your Dragon: The Hidden World ,104 min,Animation|Action|Adventure|Comedy|Family|Fantasy,Dean DeBlois,Jay Baruchel|America Ferrera|F. Murray Abraham|Cate Blanchett,"When Hiccup discovers Toothless isn't the only Night Fury; he must seek ""The Hidden World""; a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
10,The Curse of La Llorona ,93 min,Horror|Mystery|Thriller,Michael Chaves,Linda Cardellini|Raymond Cruz|Patricia Velasquez|Marisol Ramirez,Ignoring the eerie warning of a troubled mother suspected of child endangerment; a social worker and her own small kids are soon drawn into a frightening supernatural realm.
11,Kalank ,166 min,Drama|Romance,Abhishek Varman,Varun Dhawan|Alia Bhatt|Aditya Roy Kapoor|Madhuri Dixit,Drama set in the 1940s during the partition of India.
12,Under the Silver Lake ,139 min,Comedy|Crime|Drama|Mystery|Thriller,David Robert Mitchell,Andrew Garfield|Riley Keough|Topher Grace|Callie Hernandez,Sam; intelligent but without purpose; finds a mysterious woman swimming in his apartment's pool one night. The next morning; she disappears. Sam sets off across LA to find her; and along the way he uncovers a conspiracy far more bizarre.
13,Rafiki ,83 min,Drama|Romance,Wanuri Kahiu,Samantha Mugatsia|Neville Misati|Nice Githinji|Charlie Karumi,Good Kenyan girls become good Kenyan wives; but Kena and Ziki long for something more. When love blossoms between them; the two girls will be forced to choose between happiness and safety.
14,Fast Color ,100 min,Drama|Sci-Fi|Thriller,Julia Hart,Gugu Mbatha-Raw|Lorraine Toussaint|David Strathairn|Saniyya Sidney,A woman is forced to go on the run when her superhuman abilities are discovered. Years after having abandoned her family; the only place she has left to hide is home.
15,Stuck ,90 min,Drama|Musical,Michael Berry,Giancarlo Esposito|Amy Madigan|Ashanti|Arden Cho,An original pop musical film about six strangers who get stuck on a New York City subway together and change each others lives in unexpected ways.
16,Shazam! ,132 min,Action|Adventure|Comedy|Fantasy,David F. Sandberg,Zachary Levi|Mark Strong|Asher Angel|Jack Dylan Grazer,We all have a superhero inside us; it just takes a bit of magic to bring it out. In Billy Batson's case; by shouting out one word - SHAZAM. - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.
17,Dumbo ,112 min,Adventure|Family|Fantasy,Tim Burton,Colin Farrell|Michael Keaton|Danny DeVito|Eva Green,A young elephant; whose oversized ears enable him to fly; helps save a struggling circus; but when the circus plans a new venture; Dumbo and his friends discover dark secrets beneath its shiny veneer.
18,Captain Marvel ,123 min,Action|Adventure|Sci-Fi,Anna Boden|Ryan Fleck,Brie Larson|Samuel L. Jackson|Ben Mendelsohn|Jude Law,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
19,Five Feet Apart ,116 min,Drama|Romance,Justin Baldoni,Haley Lu Richardson|Cole Sprouse|Moises Arias|Kimberly Hebert Gregory,A pair of teenagers with cystic fibrosis meet in a hospital and fall in love.
20,Wonder Park ,85 min,Animation|Adventure|Comedy|Family|Fantasy,,Sofia Mali|Jennifer Garner|Ken Hudson Campbell|Kenan Thompson,Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.
