news_id,new_movie_id,hashtags_sensitive
1121463163642187776,18,Marvel
1120405089968119808,10,TheCurseofLaLlorona
1118171604608004098,6,UsMovie
1121221456254439426,18,Marvel
1121219599129808896,18,Marvel
1121217962336313344,18,Marvel
1120840572137164801,7,TheBestOfEnemies
1120825510773133312,18,Marvel
1120070485792845824,7,TheBestOfEnemies
1120009298623361024,0,PENGUINS
1119965358545235973,1,BreakthroughMovie
1119753294702768130,3,LittleMovie
1119723250617991168,3,LittleMovie
1119677165472079872,16,SHAZAM
1119669925960794112,10,LaLlorona
1119407018878455808,1,BreakthroughMovie
1120360904816619521,18,CaptainMarvel
1119990720041873408,10,LaLlorona
1120366905074675713,18,CaptainMarvel
1120288891393716229,10,LaLlorona
1120288891393716229,16,Shazam
1120288891393716229,1,BreakthroughMovie
1120054707022491648,10,LaLlorona
1120054707022491648,16,Shazam
1119361744999084032,3,LittleWoods
1119301066829336576,6,WhenTheySeeUs
1119202734547329024,10,LaLlorona
1118999223838502912,10,LaLlorona
1118932956758847488,6,RespectBringsUsTogether
1120945469671317504,3,LittleMovie
1120583081331552256,3,LittleMovie
1120265993513766912,6,UsMovie
1120250891829948416,3,LittleMovie
1119495916640014337,3,LittleMovie
1119178829183049728,6,UsMovie
1118982535583797262,3,LittleMovie
1118816439152988160,6,UsMovie
1118423855192793089,3,LittleMovie
1118046366251409408,3,LittleMovie
1117714176946966528,3,LittleMovie
1117699076659613697,6,UsMovie
1117200792912650240,3,LittleMovie
1116883703752343553,6,UsMovie
1116838406779097088,3,LittleMovie
1116642112047468544,6,UsMovie
1116611917504634881,3,LittleMovie
1116279726581198850,6,UsMovie
1116141714979164160,3,LittleMovie
1115917336035373056,3,LittleMovie
1115902238608596992,6,UsMovie
1115867639178518529,3,LittleMovie
1115554951714037760,3,LittleMovie
1115479451121344512,6,UsMovie
1115177462873325570,6,UsMovie
1115162364351877121,3,LittleMovie
1114815073787105281,3,LittleMovie
1114724476502138880,6,UsMovie
1114452684956995584,3,LittleMovie
1114290119484162048,6,UsMovie
1114044998746554368,3,LittleMovie
1113953399748194304,6,UsMovie
1113674912642682881,6,UsMovie
1113531620131315716,3,LittleMovie
1113320222893772802,3,LittleMovie
1113003135251824641,6,UsMovie
1120432343653634048,9,HowToTrainYourDragon
1119994254288281601,9,HowToTrainYourDragon
1119314722128449536,9,HowToTrainYourDragon
1118943232757387265,9,HowToTrainYourDragon
1118635245006282752,9,HowToTrainYourDragon
1117910472013914112,9,HowToTrainYourDragon
1117487686334459904,9,HowToTrainYourDragon
1116778009300742144,9,HowToTrainYourDragon
1116423686133694464,9,HowToTrainYourDragon
1115678427976060928,9,HowToTrainYourDragon
1121234933542875136,18,Marvel
1120003830333235200,10,TheCurseofLaLlorona
1120003830333235200,1,Breakthrough
1120003830333235200,0,Penguins
1119307175413809152,20,soundtrack
1118976304366243840,12,UnderTheSilverLake
1118969733276033024,12,UnderTheSilverLake
1118301705785843713,12,UnderTheSilverLake
1120013073530544128,1,BreakthroughMovie
1119728779083927554,1,BreakthroughMovie
1119020430180806657,1,BreakthroughMovie
1118554215603793921,1,BreakthroughMovie
1118280258510151681,1,BreakthroughMovie
1116833371718471680,1,BreakthroughMovie
1116576689348177920,1,BreakthroughMovie
1116571195917266945,6,ThisIsUs
1116571195917266945,1,BreakthroughMovie
1116419394446381056,1,BreakthroughMovie
1115671462424104960,1,BreakthroughMovie
1113864764411670528,1,BreakthroughMovie
1118997633249337345,10,LaLlorona
1116075882337251335,10,LaLlorona
